Job Role,Industry Size,Duration ,Rating Overall,Review Title,Overall,Pros,Cons
Student ( user ),"E-Learning, 1001-5000 employees",Used the software for: 1-2 years,,"""Microsoft Azure Review """,I appreciate the range of features offered by the platform I also appreciate the strong integration with other Microsoft tools and services.,"I appreciate the flexibility, scalability, range of services, and security features provided by Microsoft Azure, as well as the seamless integration with other Microsoft products and services",I think Azure is complex and difficult to use compared to other cloud computing platforms.Downtime or technical issues sometimes which is frustrating. Difficulties in getting timely and effective support when encountering an issue.
Musician,"Music, Self-employed",Used the software for: I used a free trial,,"""Was great as a reader....when it was free""","I used it for about a year as a reader to see how different text would sound in different voices, it gave me ideas for narration. Now it's paywalled and just to use it, you have to pay $200 a month, although there is a temporary ""free"" version, which if want to keep using it, still costs $200 a month. Some of us can't afford that. It's kind of cruel to effectively restrict good TTS services to corporations, leaving us using robotic voices that sound like a Speak and Spell. That said, having Microsoft take away such a cool program from us peasants after letting us use it for awhile as a tease is a surprisingly very Microsoft thing to do. I won't be giving [sensitive content hidden] my hard earned money when it'd be cheaper just to hire a real voice actor or actress.","It was easy to use, a few of the neural voices sounded lifelike. There were options such as making a few voices sound angry or unfriendly, which I'd never heard of from AI voices before.","The entire product is paywalled now. Even when there was a free version, it would sometimes give a ""try again"" error message. Anyone who uses software regularly of any kind knows that the most dreaded words are ""try again"" followed by the u-word (""unable"")."
IT Administrator,"Information Technology and Services, 201-500 employees",Used the software for: 2+ years,,"""Not the best platform, more complicated than others""","It's quite popular, can be well integrated with other Microsoft products (all in one placce).","It's very complicated to use, I also encountered some issues with logging to my account. Not the best speed of the web console.",
"Computer Software, 201-500 employees",Used the software for: 6-12 months,,,"""Microsoft Azure : A secure cloud platform""","Even for those who are unfamiliar with it and don't want all the bells and whistles, the interface is generally quite user-friendly and intuitive. I also appreciate that Azure provides APIs that help more seasoned users streamline their process or interact with third-party applications to make life simpler.",A vast array of capabilities and services are offered by the highly comprehensive cloud platform known as Microsoft Azure. It offers a wide variety of scalability and flexibility and is intuitive and user-friendly. I've had a terrific experience with Azure and have had no trouble building applications or storing data.,"The only drawback I have with Microsoft Azure is that it can be challenging to locate the precise tutorials or resources I require to begin a given activity. To find the best answer for my needs, I had to invest a lot of time in research and testing. If the documentation were more thorough and current, that would be fantastic."
Social Seller,"Marketing and Advertising, Self-employed",Used the software for: 2+ years,,"""Microsoft Azure Assure !!!""","Simple, rentable et sÃ©curisÃ©,peut de bug et trÃ¨s fiable","Gestionnaire de stockage de donnÃ©es,je trouve que c'est cette fonctionnalitÃ© quoi rend Microsoft Azure unique et trÃ¨s fiable",Non je trouve toutes les fonctions assez satisfaisant
"Manager, Data Engineering","Information Technology and Services, 10,001+ employees",Used the software for: 2+ years,,"""Microsoft Azure provided a great infrastructure for hosting data feeds to consumers.""",S Azure provided a great platform for performing ELT. The features of Azure portal was leveraged to compile and upload the files in the expected format. There are blobs and huge storage spaces available to host the feeds. The product provided a great datawarehouse platform.,MS Azure provided a great platform for performing ELT. The features of Azure portal was leveraged to compile and upload the files in the expected format. There are blobs and huge storage spaces available to host the feeds. The product provided a great datawarehouse platform.,Nothing noticeable which could be tagged as a con. The features placement could be a bit better.
Self-Employed,"Information Services, Self-employed",Used the software for: 2+ years,,"""Great for making it easier manage computer and users""",Easy online cloud interface to be able to manage users and computers.,It can get glitchy at times but it rarely happens these days as Microsoft has gone more into the cloud.,Needed to minimize hardware cost and go into the cloud.
Controllo di gestione,"Information Technology and Services, 1-10 employees",Used the software for: 2+ years,,"""Una macchina virtuale quasi perfetta """,In generale ottima integrazione con se di terze parti e facilitÃ  d'uso,PossibilitÃ  di lavorare in cloud e interfacciarsi con il nostro gestionale mediante un. Ftp di interscambio,A Volte gestire una mole eccessiva di flussi dati ne rallenta la funzionalitÃ 
Web developer,"Computer Software, Self-employed",Used the software for: 1-2 years,,"""Simple software for simple users""","Overall, I think this software is very useful in everyday life. It has made my work easier many times, because it is versatile and efficient at the same time. Minor lags and errors do not really interfere with smooth use. I can almost recommend it!","What I really like about the software is that it is versatile and easy to use. I use it many times in everyday life and it is a great help in managing mass information and many other things! Thanks to its versatile and powerful functions, I can easily do many tasks without using multiple applications! I am really satisfied with the software in these aspects.","The software has minor bugs and lags, but overall, apart from these, it works well. Minor bugs are annoying, but they don't interfere too much with smooth and efficient use."
Electronic,"Consumer Electronics, 1-10 employees",Used the software for: 6-12 months,,"""Microsoft Azure review ""","Microsoft Azure provides an easy to use platform for cloud computing.It offers a wide range of services that are available on demand and can be scaled up or down as needed.Microsoft Azure is highly secure, making it a great choice for organizations that need to protect sensitive data.It offers a pay-as-you-go pricing model, allowing users to easily customize their plans and only pay for what they need.","Microsoft Azure provides an easy to use platform for cloud computing.It offers a wide range of services that are available on demand and can be scaled up or down as needed.Microsoft Azure is highly secure, making it a great choice for organizations that need to protect sensitive data.It offers a pay-as-you-go pricing model, allowing users to easily customize their plans and only pay for what they need.",Microsoft Azure can be complicated to use and requires a certain level of technical expertise.Certain services and features may not be available in all
IngÃ©nieur Infra et RÃ©seaux,"Information Technology and Services, 51-200 employees",Used the software for: 1-2 years,,"""Azure est le cloud provider le plus polyvalent""","La facilitÃ© d'utilisation, la puissance des ressources dÃ©ployÃ©s, la sÃ©curitÃ© mise en place par Microsoft. Tout est bon et permet de dÃ©ployer tout ce qu'il faut pour gÃ©rer une infrastructure complÃ¨te.",La documentation est parfois un peu dur Ã  appliquer de temps en temps et le prix est Ã©levÃ© par rapport Ã  d'autres cloud providers.,L'intÃ©gration dans l'Ã©cosystÃ¨me Microsoft !
Impiegato,"Telecommunications, 5001-10,000 employees",Used the software for: 2+ years,,"""Microsoft una certezza!""","Mi piace la possibilitÃ  di poter archiviare app e programmi, per poi utilizzarli in piÃ¹ Cloud contemporaneamente",Ad oggi non ho ancora trovato degli inconvenienti veri e propri...forse qualche crash di programma ma risolvibile facilmente.,
"Information Technology and Services, 11-50 employees",Used the software for: 2+ years,,,"""Unlock your potential with Azure""",Our company works 100% with Azure,"Azure ooffers everything you need to build all the necessary pipelines for simple or really complex data structure, automation and analysis",It has so many things that it gets difficult to learn how to use all the tools
Freelance,"Computer Hardware, 51-200 employees",Used the software for: 2+ years,,"""I Adore My Using Experience In The Microsoft Azure Service.""",One Of The Best Experience As A User Of An Rdp Or Virtual Machines.,The Most Thing I Like About Microsoft Azure Is Their virtual Servers It Makes My Work Done Easly!,I Found That The Navigation Inside The Microsoft Azure Profile Hard A Bit!
cloud engineering analyst,"Information Technology and Services, 1001-5000 employees",Used the software for: 6-12 months,,"""Microsoft Azure - Abode of the Cloud DevOps""",My overall experience has been very seamless and issue free till now.,"I specifically like the Azure DevOps with all the seamless services like Azure boards, repos and azure pieplines which helps engineers just to plug and play for faster delivery of software.",What i like the least is the Identity services which it offers is more confusing as compared to other cloud providers.
IT,"Primary/Secondary Education, 51-200 employees",Used the software for: 2+ years,,"""Falta pulir""",Un gran sistema pero poco orientado a la educaciÃ³n.,"Facilidad para gestionar un gran nÃºmero de terminales, asÃ­ como usuarios y aplicaciones",La implementaciÃ³n es difÃ­cil y la ayuda prÃ¡cticamente nula
"Accounting, 1001-5000 employees",Used the software for: 1-2 years,,,"""The best cloud provider """,I like Azure Microsoft Azure because of the security and the availability of the applications. and i recommand you using it if you are looking to any cloud solution.,What i like with Microsoft Azure is the availability of the applications deployed and the necessary assistance the support provide to you if you have any issue.,"As a beginner, you need a special training to fully enjoy the features of the Azure platform."
"Computer Software, 201-500 employees",Used the software for: 2+ years,,,"""Micorosoft Azure""",,,
Lead Solution Advisor,"Accounting, 5001-10,000 employees",Used the software for: 2+ years,,"""Lead the cloud market in India""","Microsoft Azure is leading the cloud market in INDIA, Recently we have perform On-premise AD to Azure AD migration which was very smooth.","Overall it good few product needs to be improve like Azure backup, Monitoring, and log analytics.",
Data Engineer,"Information Technology and Services, 501-1000 employees",Used the software for: 2+ years,,"""An interesting cloud system for any application""",I can use Azure services to do a lot of things. The Azure cloud power of computing is amazing. From the most common local services like a file storage can stay totally on Azure.,I would that the mobile app have more functions.,
Helpdesk Technician,"Education Management, 5001-10,000 employees",Used the software for: 2+ years,,"""Innovative way of managing""",Implementing once up and running has been a  game changer for the district. Allows for multiple things to run while managing.,It has been a huge learning curve especially with the updates involved.,"More capabilities. 
More Resources."
Teacher,"Education Management, 51-200 employees",Used the software for: 2+ years,,"""Microsoft Azure""",Microsoft Azure is very easy to use.  It is a great cloud based service that allows me to access my items I use daily with one username and password.,It does require some management.  That is about the only negative I can think of.,
IT Administrator,"Oil & Energy, 1001-5000 employees",Used the software for: 2+ years,,"""Azure is one of the best cloud computing systems in the market""","We've been using Azure for more than 5 years now, we use it to host some of our apps, I don't remember that we had any technical issue with Azure during all that time, I think it's a stable, well secured and easy to use system.","Azure its a Stable system, you can relay on azure while working on the cloud, Its well secured, Microsoft provide a strong security for the customer's data, its a user friendly and well integrated with the rest Microsoft apps as well as other apps.","Azure requires some knowledge to manage it properly, migration from other cloud systems could be hard transition, also additional services like Azure Backup can be a little bit costy."
"Hospital & Health Care, 1001-5000 employees",Used the software for: 1-2 years,,,"""Microsoft Azure - great software!""","I have been using this platform in my company for a long time for many purposes, such as keeping some company data. Microsoft Azure is a great platform that provides secure and reliable data sources for our company which is very important. It is easy to use and very effective software.",None. Azure software is a very great product and it is developing continuously and I think it will be even better in the future.,
IT Manager,"Oil & Energy, 51-200 employees",Used the software for: 2+ years,,"""Great for Linking Office 365 and Active Directory""",Able to make users happier by only remembering one password. Easier to control and lock users out if needed,Able to link our active directory and office 365. Makes managing users and groups easier. Allows users to only need one password,The setup was a little difficult and caused some issues at first
Web Developer,"Insurance, 51-200 employees",Used the software for: Less than 6 months,,"""Azure has proven to be quite easy to manage and navigate, I've been pleased""","Overall I've been pleased with Azure and I hope to continue using it for some basic web hosting, and some B2C things at my job. The essential equivalent of cloud-based Active Directory is actually quite handy in an environment that thrives on Single-Sign-On.","Azure, in my opinion, is somewhat similar to something like Amazon Web Services but in comparison I feel like it was much easier to figure out what was what with Azure where-as everything has really strange names and organization with AWS. I like how Azure has their navigation laid out and presents their products in a meaningful way.","I am not typically a Microsoft developer so, in the past, anything MS related kind of gave me the heebeejeebees. I've got to say, though, once I gave Azure a try I was glad that I got over my initial judgement because, frankly, it was unfounded. I've not really found any cons yet with Azure, some things have really improved over the last several months so it's hard to find anything wrong with it."
Software Developer,"Computer Software, 51-200 employees",Used the software for: 1-2 years,,"""Great tool ideal for any type of business!""","Software with great tools capable of offering different professionals a great success since as a software developer it is really useful because it allows me and our team to perform different applications, but it is not the only thing for what can be useful for what I know is a software that can be used by any professional either for artificial intelligence development, game development, store large amounts of data and even to carry out an analysis of the same is why we are very comply with this great software since it is extremely complete.",Navigating through it can be confusing because it offers many tools but the best solution is to take time to get to know it and thus be able to get the best out of it and thus be able to use it in a much more comfortable way.,
Key Account Manager,"Electrical/Electronic Manufacturing, 10,001+ employees",Used the software for: 1-2 years,,""" Flexible platform for implementing and scaling applications""","We use the Microsoft Azure tool to implement and scale applications. The application allows you to run Linux and Windows virtual machines, payment for capacity is performed on the fact, which allows you to save on traffic. An application migration feature is available.",Technical support of the Microsoft Azure platform often cannot solve the problem when working with the service. High consumption of system resources: loaded memory and processor.,
"Higher Education, 501-1000 employees",Used the software for: 2+ years,,,"""Microsoft Azure Review""","It does allow synchronization between my onsite AD and Office 365.  When it's working it's great, but when it fails, support is offshore and extremely difficult to understand.",It does allow synchronization between my onsite AD and Office 365,Offshore support is terrible.  Reps are hard to understand and do not listen to the problem.
SharePoint Architects,"Computer Software, 11-50 employees",Used the software for: 2+ years,,"""A complete platform""","Regarding my experience with Azure, I can say that it is a quite complete platform, which has a great variety of tools to migrate your company to the cloud, without relying on a physical infrastructure. Likewise, it has a large number of plans to which you can adapt according to your needs and budget.","Personally I like the ease it has to increase the capacity of virtual machines. Additionally, it has many back-up and recovery plans. I should also mention that the customer service of Microsoft is pretty good, being the time of attention very fast and timely.",The only thing I should mention with regard to this aspect is that in my opinion the price is a bit high compared to the competition.
Cloud engineer,"Information Services, 51-200 employees",Used the software for: 1-2 years,,"""Convenient platform to quickly create applications""","I use Microsoft's Azure service to quickly build, deploy and scale applications. The tool provides access to cloud analytics and makes it possible to predict the results of work. Payment for used capacity is made upon application development.",The first thing I'm missing in the Microsoft Azure application development platform is the data modeling features. Also in the system there are no options for managing the life cycle of development.,
Founder,"Education Management, 11-50 employees",Used the software for: 2+ years,,"""Easy to use Cloud Platform""",Great Cloud Platform Software By Microsoft,"Microsoft Azure has very easy to understand terminology for their offerings, like AppService, AzureSQL, very intuitive user interface and instant user onboarding","Need File Browser support for AppService,
Pricing is bit on higher side as far as competition is concern"
11-50 employees,Used the software for: 2+ years,,,"""Azure saves our company a lot of money on hardware purchases.""","With Azure, a company can setup ""virtual servers"" without actually purchasing any hardware items because it is all in the cloud.","To configure Azure, one has to really have knowledge of information technology.  Although, there are many resources available to have it done for you if needed.",
Director de proyecto y Infraestructura,Unspecified,Used the software for: 1-2 years,,"""A very complete platform, with many tools associated with the platform, with many integrations.""","Multiplatform ie linux, windows.
I can create virtual machines in 3 minutes.
The virtual machines have a very good performance.
It has access by Remote Desktop.","I like that one pays only for what he uses, that is, I can create a virtual machine and turn it off and pay nothing, and create machines from a defined template.","The platform to use is very complex, although there is a tutorial, it is a platform with many characteristics, which is necessary to read a lot to understand it."
Technical Director,"Religious Institutions, 1-10 employees",Used the software for: 2+ years,,"""Everything you could want from a cloud service provider; necessarily complex.""","I've used Azure in both a professional setting, as a software engineer, and as a volunteer for a non-profit. I like how feature-rich Azure is; anything you'd come to expect from a cloud service provide, they have it and more. I also like that they've started offering grant for non-profits, so they're giving back to organizations trying to make our communities better. Their marketplace and one-click installs are a quick and easy way to get started with your cloud projects, no matter your skill level.","Azure is very feature-rich, but that make it pretty complicated. It's definitely not made for the faint of heart or those without a technical background. It's really easy to get yourself in a bad state, then you'll have a hard time recovering. Their paid customer support is a bit frustrating, considering that their costs are on the high end for cloud service providers. Their UI is something a bit unusual; it's not bad, it's actually kind of nice, but it can take a bit of getting used to.",
Systems Administrator,"Information Technology and Services, 501-1000 employees",Used the software for: 2+ years,,"""Microsoft Azure""",Microsoft Azure was very fast and easy to implement. Migrating a farm of 1000+ users was smooth without any headaches. Very good at keeping AD in sync with cloud services.,"If you want to keep your data safe in the cloud, there isn't a better solution available on the market right now.",Sometimes it can be hard to troubleshoot synchronization problems.
Software developer,"Information Technology and Services, 10,001+ employees",Used the software for: 1-2 years,,"""Best in the segment """,I have two years experience in application development with this software,It is very secure and has vast global network connectivity,I have not faced any issues or any bugs in this software
IT Administrator,"Education Management, 11-50 employees",Used the software for: 1-2 years,,"""Microsoft Azure""",Amazing great value for money,The ease of migrating to Azure cloud services from on prem services. Quite cost effective.,The User Experience could be better visually.
Managed Services Technician,"Information Technology and Services, 11-50 employees",Used the software for: 2+ years,,"""Microsoft Azure - When It Works, It Works.""",The layout is pretty straight forward and the backend processing doesn't take too long.,Sometimes features and functionality can be buried and you have to dig for it or research certain functions and features.,
"Retail, 501-1000 employees",Used the software for: 2+ years,,,"""AvÃ­s Microsoft Azure """,Pour un dÃ©butant j'ai trouvÃ© Microsoft incroyable tout s'apprend,Bonne fonctionnalitÃ©Innovations technologiques intÃ©ressanteSÃ©curisÃ© et fiable,FluiditÃ© lente parfois les programmes ne charge pas assez vite
CEO,"Facilities Services, Self-employed",Used the software for: 2+ years,,"""I really like this intuitive software""",is an application that makes my work fast and agile.,"I really like this intuitive software, easy to use and can be used in any occasion.","could have more different software, for every occasion and different people."
Network support analyst,"Information Technology and Services, 5001-10,000 employees",Used the software for: 2+ years,,"""Microsoft Azure review""",Am so happy in using microsoft azure,Less time it takes to configure or deploy particular feature,Faced many challenges in migrating to microsoft Azure enviroment
Specification Executive,"Outsourcing/Offshoring, 501-1000 employees",Used the software for: 1-2 years,,"""A software in which protects and manages our most important resource - data""",Superb so far.,The software integrates very well with our system. It is fluid when it deals with our day-to-day activities in the company. The data we collect and study are well taken care of by the software.,I have encountered a few technical bugs when dealing with the software. This is maybe due to an increase of highly intensive tasks which I subject the system to.
Service Desk Manager,"Financial Services, 501-1000 employees",Used the software for: 2+ years,,"""Azure for the win!""","Azure is easy to implement, easy to configure and easy to maintain.","Sometimes dealing with Microsoft support can be a pain, but on the flip side, there's so much support on the web since it's a Microsoft product.",
Design Engineer,"Automotive, 1001-5000 employees",Used the software for: I used a free trial,,"""MS Azure, a complete catalog for I4.0 tools.""",Good experience if you need to know what tools you have in the catalog in case you need to implement a big project.,"The catalog for analytics tools is pretty big, you can integrate various solutions to the default tools","The prices you need to pay are also high, taking on account that if you need to deploy a prototype the ROI will be low."
Technical Architect,"Information Technology and Services, 10,001+ employees",Used the software for: 2+ years,,"""Flexible and budgetwise Cloud Solution""","Very easy to implement and learn for administrator.

Very easy for user to setup apps deployed from azure","Microsoft really have to work a lot on preplanned outage, this is one of the pain area.

Still requires some maturity...",
"Telecommunications, 10,001+ employees",Used the software for: 2+ years,,,"""Cloud Mangment""",I am using this from few years and so far no issues.,"Its one of the most advanced cloud technology in market.
Easy to use and understand.
Easy to deploy.","Technical support is not much help.
Documentation is not good, could be better.
its not much secure."
Technology lead,"Information Technology and Services, 10,001+ employees",Used the software for: 2+ years,,"""Azure's assurance""",Azure is really stable and provides a reliable  infrastructure on which one can trust and deploy their application and be assured of stability of their hosted application or services.,"The product is  undoubtedly one of the best cloud services available in the market today.

The offering provides  a 99% stability and availability assurance which has been true to this day on which we  have hosted  one of our enterprise application",I cant think of one now but we did had initial challenges with regards to  some of the services this product offered. Eg Serverless architecture support through Azure functions using Java
Analyst,"Hospital & Health Care, 501-1000 employees",Used the software for: 2+ years,,"""Azure works well, once configured correctly.""","I like using the Azure product, it requires quite a bit of configuring and monitoring at the start but overall it is a worth while product.",I do not like the amount of configuration & troubleshooting required initially.,
Senior Infrastrucre Consultant,"Internet, 1-10 employees",Used the software for: 1-2 years,,"""Azure can virtualize your infrastructure""","For creating virtual machines and virtual networks it works great. You can use templates and multiple tools to create and manage Azure, like Powershell or the online portal. It can be a little pricey for smaller companies but can simplify the management of resources. For larger companies, it will allow faster deployment of resources.","It is off-site
Can be managed from anywhere with internet access","Can be costly
Offers and pricing change too often"
Software Engineer,"Computer Software, 201-500 employees",Used the software for: 1-2 years,,"""Excellent platform with many features""","In Azure, I can easily create tasks and assign them to members of my team, as well as store codes. The software provides many useful features, and it works great with SharePoint, Active Directory and other programs.","At first, it was difficult for me to use Azure, and my further familiarization with it took a significant amount of my time, but after that everything became very clear.",
Web editor,"Education Management, 11-50 employees",Used the software for: 1-2 years,,"""Suitable for streaming calculations""","Our company does not have enough infrastructure to develop, so we use Azure virtual machines. We pay exactly as much as we spend resources. It suits us well.","Microsoft Azure is great for small streaming tasks and for rare bulk projects. If your company has a very high workload, then it will be unprofitable to pay for resources. It is better to look for a fixed price platform for a subscription.",
IT Consultant,"Information Technology and Services, Self-employed",Used the software for: 1-2 years,,"""High Quality Cloud Services""",Azure allows me to spin up quick servers and VM's for professional and personal projects with ease.,"Azure provides many cloud services. You can spin up servers, databases, website, VM's, you name it within seconds as well as managing scaling, fault tolerance, and load balancing. The machine options available are vast in terms of memory, processing and graphics processing power. Since Azure is provided by Microsoft, it is particularly easy to implement Microsoft products like Windows Server VM's and MS SQL servers.

Another benefit is that Students get approx. $200 in free credit for certain machines. This is great for comp sci and cybersecurity students to build a virtual environment.","While pricing is fairly consistent compared to AWS and Google Cloud. All three including Azure lacks a real definitive way to predict what the total cost will be. It seems fuzzy and more often  than not you can get a ballpark, but it seems like it would be too easy to accidentally overshoot it. That said like mentioned previously this is just what the industry is, so its not just Azure, but Azure suffers from this fault."
Ecommerce & Consumer Products Manager,"Mining & Metals, 11-50 employees",Used the software for: 1-2 years,,"""Excellent as an alternative to AWS or Google Cloud""","We chose Azure to strategically diversify our cloud hosting services away from AWS and Google Cloud.  Given the nature of our business, Amazon and Google already have a multitude of data about our customers.  In case either of them decided to directly compete with us, we wanted to have a Plan B for cloud services.","It's an excellent alternative to Amazon Web Services (AWS) or Google Cloud.  If you compete with either of these companies, or if you're hesitant about handing them all of your usage data, Azure is a great choice.  Microsoft doesn't compete in many retail industries, so they're more of a neutral player.","It's a Microsoft product, so you're going to have unexplained glitches for which you'll need to contact support.  It's more complex than Google Cloud or AWS, so you often can't troubleshoot the issues yourself."
Programmer Analyst,"Computer Software, 51-200 employees",Used the software for: 2+ years,,"""Azure best cloud for Microsft users""",Being in MS technologies has always provided me upper hand to know the interface. Compatibility to all Microsoft products is superb. Has really good pricing compare to AWS.,at places your hand get tied when comes to using some opensource or other product or linking.,
CEO / Lead Architect,"Information Technology and Services, 51-200 employees",Used the software for: 6-12 months,,"""Great alternative to AWS with competitive pricing""","Pricing is good, the user interface is easier compared to AWS, but needs word to  be awesome, also a more easier version of Azure could be great.","Has a lot of types of services (DB, Instances and IoT) and you can run a lot of premade servers so you don't have to install from scratch, the pricing is competitive vrs AWS and also is easier to use than AWS, is more streamlined but still rich in options.","A lot of plugs for Microsoft services, DoesnÂ´t have a version for non IT people like AWS Lightsail or Digital Ocean. Not as much VMs templates variety as AWS, the support speed is great as well."
CEO,"Computer Software, 501-1000 employees",Used the software for: 1-2 years,,"""A cool service that is compatible with most server OSS""","This service we use in our work constantly, it is great for different server operating systems, it has a simple and convenient interface. Equally important is its stability - for many years of working with the service I have had problems only a few times.","The cost of the service is overstated, and reports about any problems in the system or planned updates do not arrive on time or do not come at all.",
"Construction, 51-200 employees",Used the software for: 1-2 years,,,"""Best cloud based computing service for the money""",moving to office 365 this bridges the gaps between our local domain and the cloud domain,The free trial made it a great option to try out and see what services were useful for our company. Also the free options for AD sync and other services within are just awesome,To get some of the more robust features it can get kind of pricey. But I suppose that is expected. Also the AD sync tool had some quirks and sometimes stops syncing
Blockchain and Javascript Developer,"Information Technology and Services, 51-200 employees",Used the software for: 1-2 years,,"""AWS finally got a worthy competitor""",Azure is a great cloud platform with one of the biggest numbers of datacenters around the world - there are 54 of them at the time of writing this! It allows you to have your data spread across the world and stored more safely than ever.,"The UI could use a refresh. It is buggy, not really friendly and it's hard to understand. Azure is a platform for technical people, but nevertheless, it could be a bit more easy to use.",
"Transportation/Trucking/Railroad, Unspecified",Used the software for: 1-2 years,,,"""Great if you have a background in Windows admin""",Microsoft Cloud and ease of admin,One of the great features of Azure is the ease of setup. Our team was surprised how many resources Microsoft has for their platforms. If you are an experienced Microsoft admin it should be a breeze,"On the downside, we found that it is one of the more costly solutions and given the extreme competition in this area, companies like Amazon and Google should make you be very careful before committing to Azure."
ANALISTA,Unspecified,Used the software for: 6-12 months,,"""I have a positive experience Microsoft Azure is a flexible, solid and secure cloud platform that all""","Among the benefits offered by Microsoft Azure is that of cost reduction: Unlike investing in acquiring and maintaining the hardware in your company, the cloud option offers you to avoid the purchase and significant savings in energy consumption, support and maintenance. Flexibility: The cloud allows you to quickly obtain more or less resources / server power according to the need at each moment, without investments in assets. Targeting: Infrastructure as a service allows you to free up time and resources up to that point destined to maintain your own infrastructure, to direct them to tasks of greater value for your business among others.","it helps us to respond quickly to changes in the needs of the company, by allowing us to expand or reduce IT resources based on their use, since Azure","This tool seems very positive because it allows our applications to have more or less allocated resources based on actual use. It offers flexible, secure, unlimited and economical file storage. We can obtain IT resources immediately and without the need to invest in assets"
Ayudante Tecnico del Departamento de Informatica,Unspecified,Used the software for: Less than 6 months,,"""My experience with Microsoft Azure has been satisfactory being able to make my applications ""","My experience with Microsoft Azure has been satisfactory being able to make my applications without worrying about the patches, the network, the load balancers, the updates and how they interact with the system. However, the services offered by us as developers allow us to manage the entire life cycle.","The almost obsessive approach that everything was in the cloud and the services offered as developers allowing us to manage the entire life cycle: initial design, development, testing and its implementation in the cloud providing us with the tools to analyze and create new versions and implement them without the need for inactivity, as well as download the application in SDK format for local review of it before its global execution guaranteeing the satisfaction of our customers","Azure is far from having such a complete stack, but still maintains the traditional business and licensing that forces customers to migrate to the cloud however the price adjustment for processing time is a bit high especially for medium and small companies who need applications to expand their horizons. The centralization of the applications and the storage of the data originate an interdependence of the service providers which generates certain distrust in our clients because the information of the company must go through different nodes to reach its destination."
Systems Engineer,Unspecified,Used the software for: 2+ years,,"""Great cloud hosted platform""",The ability to quickly spin up additional Windows servers for our customers and ease of backups and recovery.,"The disjointed control between classic and resource manager deployments, as well as classic and portal control panel pages. Has Microsoft learned nothing from Windows 8?",
CEO,"Information Technology and Services, Unspecified",Used the software for: 1-2 years,,"""By choosing Azure we were able to reuse all our legacy code base in our new cloud based product. ""","We're developing for Microsoft platform for years using visual studio C++ and Microsoft .net. By choosing Azure for our new cloud-based product, we are able to take all our existing code base and reuse it for the new cloud product.  
The new dashboard is just the. Cloud for dummies"" tool we looked for. We tried AWS before but the ease of use of the Azure dashboard is not matchable.","Ease of use
IDE Integration
Code reuse",When you have to connect multiple servers on a VPN prices start rising. Stick to the web app and blob.
Analista de Suporte,"Information Technology and Services, Self-employed",Used the software for: 1-2 years,,"""AvaliaÃ§Ã£o Azure""",Produto eficiente para a infraestrutura de tecnologia da companhia.,AtÃ© o momento nÃ£o foram identificados pontos negativos.,
Software Engineer,"Information Technology and Services, 201-500 employees",Used the software for: 1-2 years,,"""Cloud service by Microsoft""",Server up times are almost at hundred percent.Customer support is very good.,Very expensive for small companies.Little bit difficult to set up.,
software engineer,"Computer Software, 201-500 employees",Used the software for: 2+ years,,"""A trusted and well performing cloud platform""",I can say that this is one of the leading cloud solutions available nowadays. I can recommend this mainly for large scale companies that have large set of data and scaling features to run in the cloud.,"Azure gives realistic solutions for the problems that large scale companies face. It is a reliable and secure platform which provides us large set of features like compute, security, databases, disaster recovery, storage and network. I can integrate with virtual devices using azure.",For me the main concern that I faced was the learning curve and the complexity.
"Sr. Manager, Cyber Security Architect","Real Estate, 201-500 employees",Used the software for: 2+ years,,"""Great platform""",Uptime and frequent improvements. They provide an ecosystem of all the tools in one place. Recommend the platform.,Change dashboards and service name too often.,
manager,"Telecommunications, 10,001+ employees",Used the software for: 2+ years,,"""The best Platform as a Service solution ""","It's amazing and has many modern functionalities to manage applications efficiently, seamless integration with all Microsoft products",not seamless integration with Google products,
student,"Higher Education, 201-500 employees",Used the software for: 1-2 years,,"""Top Cloud Platform""",My overall experience with microsoft azure is very amazing and it provides me a lot of features and services.The Microsoft Azure is the best cloud platform in the market when compared to others as it offers better features.,The best feature of Microsoft Azure is its scalability and performance.The user interface is beginner friendly and easy to set up.The technical support for Azure is very good.The security is another good feature and it provides end to end encryption.It can be integrated with other applications/softwares.,Azure is costly when compared to other software applications.it is based on pay per use which means you get features for what you pay.Azure lacks in managing and reports and this has to be updated.
Architecte Organique,"Government Administration, 1001-5000 employees",Used the software for: 2+ years,,"""Azure my friend""",I adopted this tool from the first day,"Azure is intuitive, easy to use, ergonomic.Anyone can use it without training for simple needs",Expensive for training.200$ is not enough for one credit card
Teamleiter,"Wholesale, 201-500 employees",Used the software for: 2+ years,,"""NAV Entwicklung mit DevOps""","Ãœbersichtliches Management von Tasks/Bugs,... mit Eingliederung in Sprints, sowie Zuordnung zu Entwicklungen.",bisher konnte ich keinerlei Nachteile fÃ¼r unseren Gebrauch feststellen.,
